"NAVN";"ADRESSE1";"ADRESSE2";"ADRESSE3";"LANDKODE";"POSTNR";"POSTDST";"CVR";"AUTNR";"FORRETNINGSOMR"
"Apro Varme Consult ApS";"Borgergade 6";"";"";"DK";"4360";"Kirke Eskilstrup";"30506987";"GFSA-05470";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Clayton Service DK ApS";"Stendiget 34";"";"";"DK";"2630";"Taastrup";"32829333";"GFSA-05412";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Christiansfeld VVS & Energiteknik ApS";"Industrivej 16";"";"";"DK";"6070";"Christiansfeld";"17535471";"GFSA-05416";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Viessmann A/S";"Guldalderen 2";"";"";"DK";"2640";"Hedehusene";"12510179";"GFSA-05434";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Aut. VVS-Installatør P.E. Larsen A/S";"Erhvervsvej 1";"";"";"DK";"4720";"Præstø";"30611896";"GFSA-05463";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Mølbak VVS & Gasteknik A/S";"Hjørnegårdsvej 3";"";"";"DK";"4623";"Lille Skensved";"86780410";"GFSA-05339";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Sydgas ApS";"Lysbjergvej 6";"";"Hammelev";"DK";"6500";"Vojens";"20535997";"GFSA-05401";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Max Weishaupt A/S";"Erhvervsvej 10, Postboks 1442";"";"";"DK";"2600";"Glostrup";"29385211";"GFSA-05400";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Jans VVS v/Jan Jacobsen";"Østrevej 1 A";"";"";"DK";"4532";"Gislinge";"25371127";"GFSA-05466";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Pers VVS ApS";"Virkelyst 2";"";"";"DK";"4420";"Regstrup";"20758082";"GFSA-05529";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
